PromptID,Hindi
PO1,"इसलिए मेरे चिकित्सक ने मुझे सलाह दी कि मुझे रेडिट पर पोस्ट करना चाहिए । मैं वर्तमान में 18 साल का हूँ लेकिन कहानी शुरू होती है जब मैं 2019 की गर्मियों में 16 साल का था । मैं यूके में रहता हूँ और यह वह दिन था जब मुझे अपने जी. सी. एस. मिले । मैंने वास्तव में उनमें अच्छा प्रदर्शन किया और मुझे 8 ए. एस. और 2 मिले क्योंकि एक साल की कड़ी मेहनत और प्रयास के बाद । मैं अपने उच्चतम बिंदु पर था और मुझे इस पर विश्वास नहीं हो रहा था । हालांकि अगले दिन मेरे चचेरे भाई का दुखद रूप से मेक्सिको में एक अजीब दुर्घटना में निधन हो गया जो कभी नहीं होना चाहिए था और मुझे अचानक अपने आस - पास शोकाकुल लोगों के बवंडर में फेंक दिया गया था और इस बारे में घबराया गया था कि वे कैसे उसके शरीर को वापस लाने जा रहे थे और कई अन्य चीजें । शुरू में मुझे लगा कि मैं ठीक कर रहा था लेकिन डेढ़ हफ्ते बाद मुझे पहला पैनिक अटैक आया था । मुझे लगा कि वास्तव में मुझे दिल का दौरा पड़ रहा था और यह मेरी पहली चिंता थी कि मैं पहले हायपोक्रिया में मर रहा था ।

बाकी गर्मियों के लिए मैं लगातार चिंता और घबराहट की स्थिति में था - सोने के लिए संघर्ष कर रहा था - खाने के लिए और मृत्यु के बारे में भयभीत था । जी. सी. एस. ई. के दौरान मैं एक लड़की के करीब भी जा रहा था जो मेरे वर्ष में थी ( हम उसे अन्ना कहेंगे ) । हालाँकि गर्मियों की शुरुआत में एना एक और लड़के के साथ मिल गई और चीजें खत्म हो गईं जब उसने मुझसे कहा कि हम अब चीजों पर नहीं हैं । उस आदमी के साथ चीजें ठीक नहीं होने के बाद उसने मुझे फिर से संदेश भेजा कि वह मेरे साथ चीजों को फिर से सेट करना चाहती है ( मेरे ज्ञान के अनुसार वह इस दौरान दूसरे लड़के के भी करीब हो रही थी ) । जब मैं स्कूल वापस गया तो मैं अभी भी चिंता और दहशत से पीड़ित था - मैं किसी से भी बात करने में असमर्थ था कि यह कितना बुरा था । पहले 2 हफ्तों के दौरान मैं फिर से अन्ना के करीब आ रहा था और आखिरकार हम बाहर जाने लगे । शुरू में मेरी चिंता कम होने लगी थी ।

लेकिन जल्द ही चिंता वापस आ गई और खुद को अलग - अलग तरीकों से प्रकट कर दिया जो अतीत में बिल्कुल वफादार नहीं होने के कारण डर और अवसादग्रस्तता के साथ ध्यान देने योग्य नहीं थे । आखिरकार लॉकडाउन के साथ चीजें खराब होने लगीं । स्वाभाविक रूप से उनका व्यक्तित्व काफी घर्षक था लेकिन यह आमतौर पर उनके अधिक कोमल पक्ष से असंतुलित था । हालाँकि यह लॉकडाउन के बाद बदलने लगा और वह मेरे प्रति बहुत विषाक्त होने लगी - मुझे अनाकर्षक कहने लगी - अपने प्रकार की दयनीय आदि नहीं । यह जारी रहा और उसके मेरे साथ सही व्यवहार करने में समाप्त हो गया, जहां वह मुझसे बात करने से भी इनकार कर देती थी, अगर वह पसंद नहीं करती थी कि जिस रेस्तरां में मैं उसे डेट पर ले गई थी । इसके और भी उदाहरण और कहानियां हैं जो मैं दे सकती हूं - उस समय भी जब उसने मेरा यौन उत्पीड़न किया था जिसे मैं शामिल नहीं करना चाहती थी ।

लेकिन मैं उससे प्यार करती थी और उसके साथ रहने से मुझे लगातार चिंतित और घबराए हुए होने से रोकने में मदद मिली । मैंने उसे उस व्यक्ति के रूप में देखा जिसके साथ मैं शुरू में बाहर गई थी न कि वह व्यक्ति जो वह बन गई थी । आखिरकार मैं इसे और बर्फ़ नहीं कर सकी और अक्टूबर में मैंने उसके साथ ब्रेकअप कर लिया, लेकिन अब मेरे सबसे करीबी कंकाल खुल गए हैं और सभी भावनाएँ वापस आ गई हैं । पिछले 2 महीनों से मैं खा नहीं रही हूं या अच्छी तरह से सो नहीं रही हूं और मैं लगातार चिंतित हूं । अब जब भी मैं उसे स्कूल में देखती हूं तो मुझे भी पैनिक अटैक होता है । मैं अब एक चिकित्सक को देख रही हूं लेकिन इसमें एक महीना लग गया - मुझे नहीं लगता था कि मुझे मदद की ज़रूरत है क्योंकि यह डरावना हो सकता है लेकिन यह ईमानदारी से सबसे अच्छा निर्णय हो सकता है । मैं अब चीजों के बारे में अधिक आशावादी हूं और मैं सुरंग के अंत में रोशनी देख सकती हूं ।"
PO2,"अरे सभी अद्भुत लोग, मैं इस धागे को शुरू करना चाहता हूं ताकि शायद एक - दूसरे को'कप भरने'में मदद मिल सके । मेरी चिंता खुद को रिश्ते की चिंता और घर में चिंता के रूप में जोड़ती है । जहाँ घर में बहुत अधिक होने से मुझे बहुत अधिक चिंता होती है । मैं पूरी तरह से खाली और अकेला महसूस करता हूं । मुझे बस बाहर घूमना मुश्किल होता है ( आप कल्पना कर सकते हैं कि कोविड के 9 महीनों ने इस संबंध में मेरे साथ क्या किया है । मैंने'मेरे कप को भरने के तरीके'की सूची बनाने का दैनिक अभ्यास करना शुरू कर दिया है ताकि मैं कम खाली और चिंतित महसूस करूं । इससे मुझे यह देखने में बहुत मदद मिल रही है कि कौन सी चीजें मुझे सबसे अधिक समर्थित और शांत महसूस कराती हैं । मैं सुबह से एक सूची बनाता हूं और अगर मैं दिन के दौरान अन्य सकारात्मक चीजें करता हूं तो इसमें जोड़ता हूं ।

उदाहरण के लिएः कल मेरी कोई योजना नहीं थी और घर में अकेलेपन का आने वाला दिन अंधेरा और बड़ा हो रहा था । इसलिए मेरी "" मेरे कप को भरें "" सूची काफी लंबी हो गई । इस पर कुछ चीजें थीं जैसेः अंत में मेरे व्यंजन बनाना - चिलहॉप परिवेश ध्वनि स्पॉटिफाई प्लेलिस्ट जो मेरे व्यस्त दिमाग के लिए अद्भुत था - मेरी क्रिसमस की सभी वस्तुओं को खोलना जो मेरी जगह को अधिक स्वच्छ महसूस कराता है - मेरी त्वचा और दांतों की देखभाल पर समय बिताना जो मैं कभी - कभी उपेक्षा करता हूं और फिर एक घंटे के आरामदायक शो को देखने के बारे में बुरा महसूस करता हूं - एक दोस्त को बुलाना - उपेक्षित रसोईघर / बाथरूम के धब्बों को स्क्रब करना - क्लोरॉक्स वाइप्स के साथ - साथ मजेदार जानवरों के वीडियो देखना - और बहुत कुछ । यह काम करने का एक सामान्य दिन लगता है लेकिन चूंकि मेरे पास एडीएचडी भी है, इसलिए मैं अक्सर चीजों की उपेक्षा करता हूं या जानबूझकर उनकी जांच नहीं करता हूं - ऐसा करने से मेरी भावनात्मक भलाई पर कोई प्रभाव नहीं पड़ता है ।

इन वस्तुओं को लिख कर ताकि मैं देख सकूं कि मेरा दिन'खालीपन'में पूरी तरह से'बर्बाद'नहीं हुआ था, यह मेरे लिए एक बहुत बड़ा सौदा था । मैंने उत्पादक होने में समय बिताया और साथ ही समय सिर्फ अपना खुद का दोस्त होने में भी बिताया । पूरे दिन इसके साथ जुड़ने से मेरा ध्यान अपने कप को भरने की वास्तविक कल्पना पर केंद्रित रहा । मेरा मन पूरे समय अपेक्षाकृत शांत रहा । क्या कोई और इसी तरह के अभ्यास में संलग्न है ।"
PO3,"यह कब होता है, मैं उससे अजीबता के बारे में अफवाह करते हुए इतने सारे मूर्ख पोस्ट बनाती हूँ, क्योंकि मैं इस चिंता को छिपाना नहीं चाहती थी कि अगर मैं अजीब हो रही थी तो मैं छिपाने की कोशिश कर रही थी, अगर मैं बहुत अधिक संदेश भेज रही थी क्योंकि उसने कुछ पर जवाब नहीं दिया था, तो सामान्य रूप से अधिक विश्लेषण करना । मैं उच्च हूँ और मुझे एहसास हुआ कि जाहिर है कि इनमें से कोई भी मायने नहीं रखता है कि मेरा डर कमजोर हो रहा है क्योंकि रिश्ते में प्रवेश करना एक अंतरंग बात है और आप अपने जीवन को किसी विशेष व्यक्ति के साथ साझा कर रहे हैं । मैं वास्तव में कभी भी किसी रिश्ते में नहीं रही हूं, लेकिन मुझे एहसास हुआ कि मैं एक अकेलापन महसूस कर रही हूं जिसमें मेरे दोस्त मेरी मदद नहीं कर सकते हैं । बस दिल से बात करते हुए मुझे लगता है ।"
PO4,"मैं एक नौकरी पर काम कर रहा हूँ ( अब तक 6 महीने ) जिसके लिए मुझे फोन पर प्रभावी ढंग से संवाद करने की आवश्यकता होती है और मुझे अपनी नौकरी के विवरण के बारे में बहुत कुछ जानने की आवश्यकता होती है ( जो बहुत कुछ अनुभव से आता है ) । इस नौकरी से पहले मुझे फोन का कोई अनुभव नहीं था और मुझे अत्यधिक फोन चिंता थी ( मुझे शायद सामाजिक चिंता है जो इसमें बहुत योगदान देती है ) । मुझे अपनी चिंता को दूर करने और फोन का उपयोग शुरू करने में बहुत प्रयास करना पड़ा । मुझे अभी भी चिंता है लेकिन मैं इससे निपटने में बेहतर हूं ।

वैसे भी मैं एक ग्राहक की मदद करने की कोशिश कर रहा था और मैं अधिक अच्छा महसूस कर रहा था इसलिए मैंने इस महिला के लिए अतिरिक्त प्रयास किया । दुर्भाग्य से मैं अपनी नौकरी के एक क्षेत्र में अनुभवी नहीं था इसलिए मैं उसके कुछ प्रश्नों का उत्तर नहीं दे सका । ग्राहक ने कहा कि वह मुझसे थक गई थी कि मैं उसके प्रश्नों का उत्तर नहीं दे पा रहा था और यह एक तरह से हास्यास्पद है । उसने मुझे पिछले काम के लिए धन्यवाद नहीं दिया जो मैंने भी किया था । मैंने उससे कहा कि मैं उसे एक अधिक अनुभवी व्यक्ति दूंगा । मुझे यह समझ में आता है कि मुझे अपनी नौकरी में एक विशेषज्ञ होना चाहिए था । लेकिन मुझे ऐसा कहते हुए सुनकर वास्तव में मेरे आत्मविश्वास को कमजोर कर दिया । मुझे लगा कि मैं कड़ी मेहनत कर रहा था । लेकिन उस क्षण मुझे लगा कि यह अर्थहीन था । मैंने प्रयास किया और मुझे एक नकारात्मक अनुभव और बहुत सारी नकारात्मक भावनाओं से पुरस्कृत किया गया ।

फोन कॉल के बाद का अनुभव यह था कि मैं दुखी और अभिभूत महसूस कर रहा था. मैं काम के बाद घर चला गया और लगभग हंस - चिल्लाकर रो पड़ा । मुझे दयनीय लगता है कि मैं गुस्से में ग्राहकों को संभाल नहीं पा रहा हूं और मैं दूसरा अनुमान लगा रहा हूं कि क्या यह नौकरी वास्तव में मेरे लिए काम करने वाली है । मुझे नहीं पता कि मुझे इससे क्या चाहिए । कोई भी इसे वैसे भी नहीं पढ़ेगा । - बर्ड"
PO5,"माफ कीजिए मैम मैं सचमुच अति - हवादार और कांप रही हूं । मैं इसे एक बहाने के रूप में उपयोग नहीं कर रही हूं, मैं सचमुच संकट में हूं और उसने मुझे निकाल दिया ।"
PO6,"मुझे आज वास्तव में वास्तव में भयानक पी. एम. एस. था और एडविल ने हमेशा के लिए काम करने के बाद लगभग 45 मिनट तक काम किया । दर्द एक घंटे से भी कम समय में वापस आ रहा था, इससे पहले कि मुझे अंदर जाना था । मैंने पहले ही पोस्ट कर दिया था कि मुझे किसी को कवर करने के लिए किसी की तलाश थी या व्यापार शिफ्ट में लेकिन किसी ने जवाब नहीं दिया । यह एक बहुत ही अनौपचारिक कार्यस्थल था और सर्दियों में बहुत शांत था । पिछली बार मैंने किसी से अपनी शिफ्ट को कवर करने के लिए कहा था लेकिन कोई भी अंदर नहीं आया, मैं वैसे भी अंदर गया क्योंकि मैंने फैसला किया कि मैं 0 नींद / परीक्षा तनाव से गुजर सकता हूं / अपनी देखभाल नहीं कर रहा था लेकिन वे मुझसे अंदर आने की उम्मीद नहीं कर रहे थे और मुझे अनुसूची से बाहर कर दिया गया था । आज मैंने मूल रूप से फैसला किया कि यह वही स्थिति होगी अगर मैं इसमें कॉल करता तो मैं उन किशोरों में से एक होता जो वैसे भी जवाब देते हैं और जैसे कि हाँ और शायद यह ठीक है?

मैं ठीक महसूस कर रहा था और आयोग से बाहर नहीं था जैसे कि मैं सारा दिन अपनी शिफ्ट के लिए रहा होता । एक सहकर्मी जिससे मैं दोस्ती कर रहा था वह शायद बहुत निराश था बी. सी. वह एक बच्चे के साथ फ्रंट काउंटर पर काम कर रही थी जिसे वह बहुत परेशान करती है । मुझे चिंता है कि मैंने इसे बनाया ताकि ब्रेक लेना मुश्किल हो गया । क्या होगा अगर ड्राइवथ्रू या व्यंजनों को छोड़ना बहुत व्यस्त हो जाता है जबकि कोई ब्रेक पर होता है? मैं बहुत स्वार्थी महसूस करता हूं । मुझे लगता है कि लोग मुझे न्याय कर रहे होते हैं । काश मैं इसके बारे में किसी ने मेरे प्रबंधक को संदेश भेजा होता या कुछ ऐसा ही होता जो मुझे नहीं लगता?"
PO7,"हाय उह. मुझे अपने पूरे जीवन में ऐसे अजीब अनुभव हुए हैं कि मुझे पूरी तरह से यकीन नहीं है कि क्या वर्गीकृत किया जाए क्योंकि मुझे सामान्य चिंता का पता चला है लेकिन मुझे वास्तव में नहीं पता कि इन्हें चिंता के हमले माना जाता है या नहीं. कभी - कभी जब मैं अभिभूत और परेशान हो जाता हूं और रोने लगता हूं तो मुझे ठीक से सांस लेने में परेशानी होती है. जैसे कि मुझे लगता है कि हाइपरवेंटिलेटिंग लेकिन मुझे पूरी तरह से यकीन नहीं है कि बी. सी. यह तेज नहीं है लेकिन यह अनियंत्रित है और थोड़ा हांफ की तरह है. लेकिन बात यह है कि कभी - कभी मुझे वास्तव में नहीं लगता कि यह चिंता से होता है. यह आज काम पर हुआ जब मेरे प्रबंधक ने मुझे फटकार लगाई और उस व्यस्त दिन के तनाव ने मुझे रोना शुरू कर दिया । मुझे लगता है कि मैं थोड़ा चिंतित था लेकिन मुझे बस बुरा महसूस हुआ और गलती के लिए थोड़ा मूर्खता महसूस हुई जब मैंने हर बार रोते समय ऐसा नहीं होता था ।

वास्तव में. मुझे अभी एहसास हुआ कि यह केवल सामाजिक स्थितियों में होता है?"
PO8,"नमस्ते रेडिट के लोग । आम तौर पर मैं खुद को इस तरह की स्थिति में नहीं पाता कि मैं इसे लिख पाता, लेकिन तथ्य यह है कि मुझे यह भी नहीं पता कि मुझे इसे कैसे संभालना चाहिए । मैंने जून में एक नई नौकरी शुरू की, जबकि मुझे अभी भी एक और नौकरी थी जिसका मुझे आनंद था । मैंने देखना शुरू किया कि मैं सांस नहीं ले पा रहा था ( मुझे दमा है और मैंने अपने इन्हेलर का बहुत उपयोग किया और इससे कोई मदद नहीं मिली । वैसे भी कुछ डॉक्टरों के जाने के बाद यह पता चला कि मेरी चिंता बढ़ रही थी । पहले तो यह ज्यादातर सांस लेने में सक्षम नहीं था और यह बस बदतर होता गया । मुझे एक नौकरी छोड़नी पड़ी जो मुझे नई प्रबंधक के कारणों से पसंद आई थी जिसने अभी वहां काम करना शुरू किया था । वैसे भी मैंने खुद को बहुत काम करने और अन्य लोगों के घंटों लेने में मददगार होने के लिए अपनी दूसरी नौकरी में डालना शुरू कर दिया । मेरे पास एक थैला है जो मेरे पास है और वे मुझे कुछ समस्याएं दे रहे हैं ।

इसलिए कुछ महीनों के बाद मैं वहाँ पहुँचता हूँ और मैं खुद को और भी खराब होता देख रहा हूँ । मेरी चिंता मेरे जीवन पर हावी हो रही है । मेरा अवसाद फिर से खराब होने लगा है । मैं खुद को काम पर जाने की इच्छा प्राप्त करने के लिए भी संघर्ष कर रहा हूँ । जब मैं वहाँ पहुँचता हूँ तो मैं बिना किसी मदद के अपनी दवा लेने की दिनचर्या रखता हूँ । जब मैं काम पर होता हूँ तो मैं खुद को खुश रहने के लिए भी संघर्ष कर रहा हूँ । हर दिन वही पुरानी चीज़ जो समस्या नहीं है, वही अशिष्ट ग्राहक आते हैं जो मुझे मूर्खतापूर्ण महसूस कराने की कोशिश करते हैं जब वे मूर्ख होते हैं - मूर्खतापूर्ण चुटकुलों वाले ग्राहक और ग्राहक जो महसूस करते हैं कि वे हकदार हैं । मैं उनके साथ जितना हो सके उतना अच्छा व्यवहार करता हूँ । इसके बाद अन्य कर्मचारी हैं जो अन्य सहकर्मियों के बारे में बेकार बात करते हैं ।

मुझे ऐसा रवैया देते हुए क्योंकि मेरे पास दुकान के कम से कम आबादी वाले क्षेत्र में काम करने के लिए डॉक्टर का नोट था - एक मुख्य कैशियर किसी अन्य व्यक्ति को यह कहता है कि मैं इसे नकली बना रहा हूं - और एक अन्य प्रमुख कैशियर कहता है कि हर किसी को चिंता है - ठीक है हाँ सुन ( उसका नाम वास्तव में सुसान नहीं है ) - हर किसी को चिंता है - आप मुझे क्यों नहीं बताते जब आप ऐसा महसूस करते हैं जैसे आप मर रहे हैं या आपको ऐसा लगता है कि आप सांस नहीं ले सकते हैं या जब आप कभी ऐसा महसूस नहीं करते हैं जैसे आप अपने शरीर में हैं तो मैं इंतजार करूँगा । मेरे समय के बाद भी मेरी चिंता रहती है कि आप कम से कम बंद होने के कारण बंद हो जाते हैं - मैं फिर से अपने ग्राहकों को घर के सामने से अभिवादन करने के लिए कह रहा हूं कि मैं उन्हें बाहर जाने के लिए कह रहा हूं और मैं उन्हें घर से बाहर जाने के लिए कह रहा हूं कि वे काम कर रहे हैं या मैं उन्हें घर से बाहर जाने के लिए कह रहा हूं । मैं फिर से अपने ग्राहकों को अभिवादन करने के लिए कह रहा हूं कि वे काम करने के लिए बाहर नहीं जा रहे हैं और मैं फिर से बाहर जाने के लिए कह रहा हूं कि मैं उन्हें घर से बाहर जाने के लिए

वे मुझे इस बारे में मुश्किल दे रहे हैं लेकिन ऐसे लोग भी हैं जिनके पास बैठने के लिए डॉक्टर के नोट हैं । वे द्वीप के अंत में लोगों का अभिवादन करने के लिए नहीं जाते हैं, वे काउंटर के पीछे बैठते हैं और जब कोई ग्राहक बाहर निकलने के लिए आता है तो खड़े हो जाते हैं, तो मैं काउंटर के पीछे क्यों नहीं खड़ा हो सकता और कभी - कभी बैठ जाता हूं, जब मेरे बीच अलगाव की कोई बुरी घटना होती है । इस समय मुझे नहीं पता कि क्या करना है । वे चिंता के साथ एक अन्य कैशियर के साथ अन्याय कर रहे हैं और मुझे भी । चिंता बहुत अधिक होती है और आपको तब तक समायोजित करना चाहिए जब तक यह अनुचित कठिनाई का कारण नहीं बनता है ( जो मुझे लगता है कि यह नहीं है ) । कोविड के साथ ग्राहकों का अभिवादन करना बहुत चतुराई से नहीं है क्योंकि इससे मैं उस समय के करीब आता हूं और मुझे अपनी उम्र के किसी व्यक्ति की तुलना में अधिक जोखिम हो सकता है । मुझे नहीं पता कि अब और क्या करना है, इसलिए मैं आपको कुछ उपयोगकर्ताओं के लिए आने का फैसला करता हूं ।

इसके अलावा क्षमा करें अगर यह हर जगह था - जब मैं लिख रहा होता हूँ तो मैं ऐसा करता हूँ ।"
PO9,"मेरे माता - पिता ने हमेशा मुझे मानसिक स्वास्थ्य के बारे में बात करते हुए अनदेखा किया है । मुझे लगता है कि हर बार जब मैं इस तीव्र चिंता को व्यक्त करने की कोशिश करता हूं तो वे इसे अमान्य कर देते हैं । शायद यह सच है, लेकिन इससे मुझे शर्म आती है जब मैं अपने मानसिक स्वास्थ्य के बारे में बात कर रहा होता हूं । मैं बहुत थक गया हूं और मुझे लगता है कि मुझे वास्तव में मदद की आवश्यकता है । मैंने अपने डॉक्टर को समझाने की कोशिश की कि मैं कैसा महसूस कर रहा था, लेकिन ऐसा लगा कि वे इसे दूर करने की कोशिश कर रहे हैं । मुझे नहीं सुना गया और मैं लगभग अब इसके बारे में बात करने में भी शर्मिंदा महसूस कर रहा हूं । शुक्र है कि उन्होंने मुझे परामर्श लेने के लिए संदर्भित किया लेकिन ऐसा लगता है कि यह एक झटका है । शायद ऐसा लगता है कि मैं जिस तरह से सोचता हूं वह सामान्य है लेकिन शायद मैंने इसे सही ढंग से समझाया नहीं ।"
PO10,"महामारी के कारण मैं वर्तमान में जून में नौकरी छोड़ने के बाद 3 नौकरियों पर काम कर रहा हूं, स्कूल जाने के अलावा । उनमें से एक खुदरा नौकरी है । आज मुझे पता चला कि मेरे बिल और खर्च मेरे खाते में जो था उससे कहीं अधिक थे और मैं वास्तव में इसके बारे में तनाव में था । इसने मुझे कुचल दिया क्योंकि मुझे अपने स्वयं के धन प्रबंधन पर गर्व है । यह ब्रेक प्वाइंट था । यह सप्ताह मेरे अपार्टमेंट परिसर से तनाव से भरा हुआ है ( 5 कॉल और उन्होंने अभी भी मेरे कॉल वापस नहीं किए हैं... मेरी कार की चाबियाँ खोने से - पड़ोस का अपराध - यह पता लगाना कि काम कैसे करना है और मैं कई स्वास्थ्य समस्याओं से जूझ रहा हूं - कुछ दिनों तक बहुत कठिन हो जाता है । फिर पैसे की चीज ने ऊंटों को तोड़ दिया । आप शायद एक मील दूर से मेरी आंखों में टूटना देख सकते थे ।

मैंने बहुत कुछ देखा है कि आपका सर्वश्रेष्ठ आज थोड़ा अलग दिख सकता है और मैं आपको बता दूं कि मैं अपना सर्वश्रेष्ठ बनने की कोशिश कर रही थी । मेरा सर्वश्रेष्ठ का मतलब सिर्फ दूसरों के साथ बात करना या बातचीत करना नहीं था, लेकिन मैं अपनी पूरी कोशिश कर रही थी । मैं खुद से कह रही थी कि जब मैं तनाव को मुझे रोने न देने की कोशिश कर रही थी । यह लड़की मेरे रजिस्टर पर आई । वह मेरी उम्र के आसपास थी । उसने मेरी आँखें देखी होंगी क्योंकि उसने मुझसे बहुत ईमानदारी से बात करना और बात करना शुरू कर दिया था । उसने पूछा कि क्या मैं बातचीत के दौरान ठीक हो रही थी जब मैंने कुछ कहा और फिर इस बारे में बात कर रही थी कि यह उन कठिन दिनों में से एक है जो सभी के लिए ऐसा लगता है । उसने मुझे थोड़ा आश्वस्त करने वाला सिर हिलाया और यह कहने जैसा था कि उसने मुझे बताया कि इस लड़की को जाने से पहले आपको मिल गया था और मुझे छुट्टियों की बधाई दी । मैं अविश्वसनीय रूप से आभारी हूं और इस बात के लिए मैं बहुत आभारी हूं ।"
